t,crowd_count,near_center_fraction_5m,outward_fraction,mean_outward_speed_mps,net_radial_flow_mps,y,outward_fraction_lag1,outward_fraction_lag2,outward_fraction_lag3,mean_outward_speed_mps_lag1,mean_outward_speed_mps_lag2,mean_outward_speed_mps_lag3,crowd_count_lag1,crowd_count_lag2,crowd_count_lag3,net_radial_flow_mps_lag1,net_radial_flow_mps_lag2,net_radial_flow_mps_lag3,near_center_fraction_5m_lag1,near_center_fraction_5m_lag2,near_center_fraction_5m_lag3
5602.0,47.0,0.2127659574468085,0.2765957446808511,2.2814201279500383,0.24095259003352346,0,0.2765957446808511,0.3125,0.2826086956521739,2.3412102156430885,2.337552217033538,2.3357545729679967,47.0,48.0,46.0,0.18525814594140183,0.30157585720385804,0.10567485385366977,0.0851063829787234,0.10416666666666667,0.15217391304347827
5605.0,47.0,0.19148936170212766,0.2978723404255319,2.3006264209248792,0.4061237978475563,0,0.2765957446808511,0.2765957446808511,0.3125,2.2814201279500383,2.3412102156430885,2.337552217033538,47.0,47.0,48.0,0.24095259003352346,0.18525814594140183,0.30157585720385804,0.2127659574468085,0.0851063829787234,0.10416666666666667
5607.0,45.0,0.15555555555555556,0.3333333333333333,2.3367083956987487,0.5454524462723027,0,0.2978723404255319,0.2765957446808511,0.2765957446808511,2.3006264209248792,2.2814201279500383,2.3412102156430885,47.0,47.0,47.0,0.4061237978475563,0.24095259003352346,0.18525814594140183,0.19148936170212766,0.2127659574468085,0.0851063829787234
5610.0,47.0,0.0425531914893617,0.2765957446808511,2.3110080981921914,0.3484799374726925,0,0.3333333333333333,0.2978723404255319,0.2765957446808511,2.3367083956987487,2.3006264209248792,2.2814201279500383,45.0,47.0,47.0,0.5454524462723027,0.4061237978475563,0.24095259003352346,0.15555555555555556,0.19148936170212766,0.2127659574468085
5612.0,48.0,0.08333333333333333,0.2708333333333333,2.3018292402701404,0.16081196612768703,0,0.2765957446808511,0.3333333333333333,0.2978723404255319,2.3110080981921914,2.3367083956987487,2.3006264209248792,47.0,45.0,47.0,0.3484799374726925,0.5454524462723027,0.4061237978475563,0.0425531914893617,0.15555555555555556,0.19148936170212766
5615.0,42.0,0.14285714285714285,0.30952380952380953,2.32085945541444,0.2443200172799719,0,0.2708333333333333,0.2765957446808511,0.3333333333333333,2.3018292402701404,2.3110080981921914,2.3367083956987487,48.0,47.0,45.0,0.16081196612768703,0.3484799374726925,0.5454524462723027,0.08333333333333333,0.0425531914893617,0.15555555555555556
5617.0,45.0,0.06666666666666667,0.2,2.2781631270794698,0.11326336061646217,0,0.30952380952380953,0.2708333333333333,0.2765957446808511,2.32085945541444,2.3018292402701404,2.3110080981921914,42.0,48.0,47.0,0.2443200172799719,0.16081196612768703,0.3484799374726925,0.14285714285714285,0.08333333333333333,0.0425531914893617
5620.0,48.0,0.125,0.20833333333333334,2.2498166965840993,-0.11118243044810043,0,0.2,0.30952380952380953,0.2708333333333333,2.2781631270794698,2.32085945541444,2.3018292402701404,45.0,42.0,48.0,0.11326336061646217,0.2443200172799719,0.16081196612768703,0.06666666666666667,0.14285714285714285,0.08333333333333333
5622.0,50.0,0.12,0.3,2.2525299415061513,0.11246781510683021,0,0.20833333333333334,0.2,0.30952380952380953,2.2498166965840993,2.2781631270794698,2.32085945541444,48.0,45.0,42.0,-0.11118243044810043,0.11326336061646217,0.2443200172799719,0.125,0.06666666666666667,0.14285714285714285
5625.0,48.0,0.08333333333333333,0.3125,2.255633891043904,0.16250355374093228,0,0.3,0.20833333333333334,0.2,2.2525299415061513,2.2498166965840993,2.2781631270794698,50.0,48.0,45.0,0.11246781510683021,-0.11118243044810043,0.11326336061646217,0.12,0.125,0.06666666666666667
5627.0,43.0,0.23255813953488372,0.3023255813953488,2.2529658331871527,0.3133318194484526,0,0.3125,0.3,0.20833333333333334,2.255633891043904,2.2525299415061513,2.2498166965840993,48.0,50.0,48.0,0.16250355374093228,0.11246781510683021,-0.11118243044810043,0.08333333333333333,0.12,0.125
5630.0,48.0,0.125,0.3333333333333333,2.291956369042457,0.5418871765162335,0,0.3023255813953488,0.3125,0.3,2.2529658331871527,2.255633891043904,2.2525299415061513,43.0,48.0,50.0,0.3133318194484526,0.16250355374093228,0.11246781510683021,0.23255813953488372,0.08333333333333333,0.12
5632.0,47.0,0.10638297872340426,0.3191489361702128,2.304857749729594,0.3446512907524283,0,0.3333333333333333,0.3023255813953488,0.3125,2.291956369042457,2.2529658331871527,2.255633891043904,48.0,43.0,48.0,0.5418871765162335,0.3133318194484526,0.16250355374093228,0.125,0.23255813953488372,0.08333333333333333
5635.0,45.0,0.1111111111111111,0.35555555555555557,2.336366688611931,0.37781130535320784,0,0.3191489361702128,0.3333333333333333,0.3023255813953488,2.304857749729594,2.291956369042457,2.2529658331871527,47.0,48.0,43.0,0.3446512907524283,0.5418871765162335,0.3133318194484526,0.10638297872340426,0.125,0.23255813953488372
5637.0,46.0,0.08695652173913043,0.2826086956521739,2.3403781171953986,0.21063104343577282,0,0.35555555555555557,0.3191489361702128,0.3333333333333333,2.336366688611931,2.304857749729594,2.291956369042457,45.0,47.0,48.0,0.37781130535320784,0.3446512907524283,0.5418871765162335,0.1111111111111111,0.10638297872340426,0.125
5640.0,43.0,0.11627906976744186,0.20930232558139536,2.3639792650279854,-0.1246621220026463,0,0.2826086956521739,0.35555555555555557,0.3191489361702128,2.3403781171953986,2.336366688611931,2.304857749729594,46.0,45.0,47.0,0.21063104343577282,0.37781130535320784,0.3446512907524283,0.08695652173913043,0.1111111111111111,0.10638297872340426
5642.0,45.0,0.15555555555555556,0.2,2.375741202369733,-0.1581556639166546,0,0.20930232558139536,0.2826086956521739,0.35555555555555557,2.3639792650279854,2.3403781171953986,2.336366688611931,43.0,46.0,45.0,-0.1246621220026463,0.21063104343577282,0.37781130535320784,0.11627906976744186,0.08695652173913043,0.1111111111111111
5645.0,49.0,0.12244897959183673,0.2653061224489796,2.3104058764468864,-0.09851017801008263,0,0.2,0.20930232558139536,0.2826086956521739,2.375741202369733,2.3639792650279854,2.3403781171953986,45.0,43.0,46.0,-0.1581556639166546,-0.1246621220026463,0.21063104343577282,0.15555555555555556,0.11627906976744186,0.08695652173913043
5647.0,47.0,0.14893617021276595,0.2978723404255319,2.31464644542227,-0.07595148010753401,0,0.2653061224489796,0.2,0.20930232558139536,2.3104058764468864,2.375741202369733,2.3639792650279854,49.0,45.0,43.0,-0.09851017801008263,-0.1581556639166546,-0.1246621220026463,0.12244897959183673,0.15555555555555556,0.11627906976744186
5650.0,49.0,0.20408163265306123,0.3673469387755102,2.3385550973386753,0.33544500493093726,0,0.2978723404255319,0.2653061224489796,0.2,2.31464644542227,2.3104058764468864,2.375741202369733,47.0,49.0,45.0,-0.07595148010753401,-0.09851017801008263,-0.1581556639166546,0.14893617021276595,0.12244897959183673,0.15555555555555556
5652.0,45.0,0.2,0.4222222222222222,2.266427423559972,0.4901291994009911,0,0.3673469387755102,0.2978723404255319,0.2653061224489796,2.3385550973386753,2.31464644542227,2.3104058764468864,49.0,47.0,49.0,0.33544500493093726,-0.07595148010753401,-0.09851017801008263,0.20408163265306123,0.14893617021276595,0.12244897959183673
